"","6.15.21-CSD-2","6.15.21-CSD-2 +  6.28.2021-CSD-18","6.16,17.21-CSA-1","6.16.21-CSC-2","6.16.21-CSC-4","6.16.21-CSJ-2","6.17.2021-CSD-4","6.17.21-CSA-1","6.17.21-CSA-3","6.27.22-CSD-3","6.28.2021-CSD-15","6.28.2021-CSD-16","6.28.2021-CSD-17","6.28.2021-CSD-21","6.28.2021-CSD-23","6.28.2021-CSD-9","6.28.21-CSC-2","6.28.22-CSD-1","6.29.22-CSD-10","6.29.22-CSD-4","7.2.2021-CSA-22","7.5.21-CSJ-1","CLST_1","CLST_10","CLST_L10","CLST_L11","CLST_L13","CLST_L14","CLST_L2","CLST_L3","CLST_L4","CLST_L8","CLST_L9","Susan2010to2012"
"7.2.2021-CSA-22",0.933333333333333,0.92,0.982758620689655,1,0.942857142857143,0.952380952380952,1,0.942857142857143,1,0.983739837398374,1,1,0.971428571428571,0.978947368421053,0.92,0.818181818181818,1,0.987730061349693,1,0.947368421052632,0,1,1,0.818181818181818,1,1,1,1,1,1,1,1,1,1
"7.5.21-CSJ-1",1,1,0.968,1,1,0.725490196078431,0.906976744186046,0.954545454545455,0.833333333333333,0.954545454545455,1,1,1,0.961538461538462,1,1,1,0.976744186046512,0.941176470588235,0.957446808510638,1,0,1,1,1,1,1,1,1,1,1,0.875,1,1
"CLST_1",1,0.925925925925926,0.966101694915254,0.904761904761905,0.837837837837838,1,0.944444444444444,1,0.88235294117647,0.984,1,1,0.916666666666667,0.958762886597938,0.925925925925926,1,1,0.975757575757576,1,0.95,1,1,0,0.846153846153846,1,1,1,1,1,1,1,1,0.833333333333333,1
"CLST_10",0.743589743589744,0.764705882352941,0.84,0.755102040816326,0.818181818181818,0.88235294117647,0.86046511627907,0.818181818181818,1,0.863636363636364,0.619047619047619,0.727272727272727,0.822784810126582,0.884615384615385,0.705882352941177,0.7,0.818181818181818,0.895348837209302,0.941176470588235,0.914893617021277,0.818181818181818,1,0.846153846153846,0,1,1,0.8,1,0.846153846153846,0.846153846153846,0.818181818181818,0.875,0.894736842105263,1
"CLST_L10",0.933333333333333,0.92,0.982758620689655,0.95,0.942857142857143,1,0.941176470588235,1,1,0.983739837398374,1,1,0.971428571428571,0.978947368421053,0.92,1,1,0.987730061349693,0.92,1,1,1,1,1,0,1,0.818181818181818,1,1,1,1,1,1,1
"CLST_L11",0.8125,1,0.983050847457627,0.952380952380952,1,0.954545454545455,0.944444444444444,1,0.764705882352941,0.952,1,1,1,0.938144329896907,0.851851851851852,1,1,0.987878787878788,1,1,1,1,1,1,1,0,1,0.5,1,1,1,1,1,1
"CLST_L13",0.58974358974359,0.823529411764706,0.84,0.591836734693878,0.681818181818182,0.88235294117647,0.767441860465116,0.727272727272727,0.666666666666667,0.878787878787879,0.619047619047619,0.454545454545455,0.79746835443038,0.826923076923077,0.705882352941177,0.6,0.818181818181818,0.930232558139535,0.764705882352941,0.787234042553192,1,1,1,0.8,0.818181818181818,1,0,1,0.538461538461538,0.538461538461538,0.818181818181818,0.5,0.578947368421053,0.866666666666667
"CLST_L14",0.933333333333333,1,1,0.95,1,1,0.941176470588235,1,0.866666666666667,0.983739837398374,1,1,1,0.978947368421053,0.92,1,1,0.987730061349693,1,1,1,1,1,1,1,0.5,1,0,1,1,1,1,1,1
"CLST_L2",0.8125,1,0.949152542372881,0.857142857142857,0.891891891891892,0.909090909090909,0.944444444444444,0.891891891891892,0.88235294117647,0.952,0.857142857142857,0.733333333333333,0.944444444444444,0.938144329896907,0.851851851851852,0.538461538461538,0.5,0.975757575757576,0.925925925925926,0.9,1,1,1,0.846153846153846,1,1,0.538461538461538,1,0,0.333333333333333,0.5,0.555555555555556,1,1
"CLST_L3",0.8125,1,0.949152542372881,0.857142857142857,0.837837837837838,0.863636363636364,0.944444444444444,0.945945945945946,1,0.952,1,0.6,0.916666666666667,0.938144329896907,0.925925925925926,0.538461538461538,0.5,0.963636363636364,1,0.85,1,1,1,0.846153846153846,1,1,0.538461538461538,1,0.333333333333333,0,0.5,0.555555555555556,1,1
"CLST_L4",0.933333333333333,1,0.982758620689655,0.95,0.942857142857143,0.952380952380952,0.941176470588235,0.942857142857143,1,0.983739837398374,1,0.846153846153846,0.971428571428571,0.978947368421053,0.92,0.818181818181818,0,0.987730061349693,1,0.947368421052632,1,1,1,0.818181818181818,1,1,0.818181818181818,1,0.5,0.5,0,0.714285714285714,1,1
"CLST_L8",0.771428571428571,0.933333333333333,0.900826446280992,0.777777777777778,0.8,0.872340425531915,0.794871794871795,0.8,0.6,0.921875,0.88235294117647,0.666666666666667,0.866666666666667,0.88,0.8,0.75,0.714285714285714,0.94047619047619,0.866666666666667,0.813953488372093,1,0.875,1,0.875,1,1,0.5,1,0.555555555555556,0.555555555555556,0.714285714285714,0,0.733333333333333,0.636363636363636
"CLST_L9",0.842105263157895,0.878787878787879,0.854838709677419,0.625,0.72093023255814,0.96,0.904761904761905,0.813953488372093,0.739130434782609,0.938931297709924,0.7,0.80952380952381,0.897435897435897,0.883495145631068,0.818181818181818,1,1,0.964912280701754,0.93939393939394,0.869565217391304,1,1,0.833333333333333,0.894736842105263,1,1,0.578947368421053,1,1,1,1,0.733333333333333,0,0.857142857142857
"Susan2010to2012",0.823529411764706,0.931034482758621,0.916666666666667,0.909090909090909,0.948717948717949,1,0.842105263157895,0.794871794871795,0.578947368421053,0.921259842519685,0.875,1,0.864864864864865,0.898989898989899,0.793103448275862,1,1,0.940119760479042,0.655172413793103,1,1,1,1,1,1,1,0.866666666666667,1,1,1,1,0.636363636363636,0.857142857142857,0
